Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 1.0 0.999 1.0 1.0 1.0 1.0 1.0 1.0 
0.4 0.981 0.941 1.0 1.0 1.0 1.0 1.0 1.0 
0.5 0.859 0.811 1.0 1.0 1.0 1.0 1.0 1.0 
0.6 0.734 0.685 1.0 0.919 1.0 0.919 1.0 1.0 
0.7 0.63 0.279 1.0 0.32 1.0 0.32 1.0 0.997 
0.8 0.024 0.0 0.041 0.0 0.041 0.0 1.0 0.945 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.543 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.067 
