Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.987 0.987 0.987 0.987 0.987 0.987 0.987 0.987 
0.4 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 
0.5 0.912 0.912 0.913 0.913 0.913 0.913 0.915 0.915 
0.6 0.863 0.862 0.865 0.864 0.865 0.864 0.872 0.87 
0.7 0.796 0.796 0.803 0.803 0.803 0.803 0.811 0.81 
0.8 0.545 0.501 0.55 0.513 0.55 0.513 0.736 0.733 
0.9 0.138 0.103 0.141 0.109 0.141 0.109 0.664 0.66 
1.0 0.001 0.001 0.001 0.001 0.001 0.001 0.621 0.573 
