Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.997 0.996 0.997 0.996 0.997 0.996 0.997 0.996 
0.4 0.987 0.983 0.989 0.985 0.989 0.985 0.989 0.984 
0.5 0.956 0.954 0.965 0.962 0.965 0.962 0.966 0.962 
0.6 0.899 0.894 0.927 0.92 0.927 0.92 0.932 0.925 
0.7 0.865 0.854 0.907 0.899 0.907 0.899 0.916 0.908 
0.8 0.604 0.557 0.65 0.592 0.65 0.592 0.897 0.874 
0.9 0.146 0.118 0.162 0.126 0.162 0.126 0.87 0.852 
1.0 0.001 0.001 0.001 0.001 0.001 0.001 0.814 0.681 
