Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.925 0.903 0.952 0.923 0.952 0.923 0.955 0.915 
0.3 0.658 0.648 0.843 0.795 0.843 0.795 0.856 0.792 
0.4 0.45 0.437 0.785 0.726 0.785 0.726 0.811 0.728 
0.5 0.298 0.291 0.66 0.605 0.66 0.605 0.688 0.613 
0.6 0.192 0.183 0.573 0.527 0.573 0.527 0.599 0.528 
0.7 0.12 0.111 0.483 0.271 0.483 0.271 0.506 0.434 
0.8 0.005 0.001 0.019 0.001 0.019 0.001 0.43 0.37 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.364 0.304 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.314 0.062 
