Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.982 0.976 0.984 0.978 0.984 0.978 0.986 0.981 
0.3 0.919 0.914 0.961 0.956 0.961 0.956 0.965 0.951 
0.4 0.8 0.783 0.902 0.884 0.902 0.884 0.919 0.896 
0.5 0.637 0.619 0.847 0.805 0.847 0.805 0.884 0.832 
0.6 0.504 0.491 0.801 0.764 0.801 0.764 0.851 0.803 
0.7 0.402 0.355 0.704 0.547 0.704 0.547 0.76 0.705 
0.8 0.016 0.001 0.026 0.001 0.026 0.001 0.711 0.627 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.667 0.573 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.613 0.212 
