Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.734 0.732 0.74 0.739 0.74 0.739 0.74 0.738 
0.3 0.413 0.412 0.493 0.487 0.493 0.487 0.494 0.489 
0.4 0.214 0.213 0.321 0.317 0.321 0.317 0.331 0.329 
0.5 0.084 0.084 0.195 0.192 0.195 0.192 0.207 0.203 
0.6 0.03 0.03 0.119 0.118 0.119 0.118 0.132 0.128 
0.7 0.01 0.009 0.082 0.077 0.082 0.077 0.086 0.083 
0.8 0.0 0.0 0.007 0.0 0.007 0.0 0.064 0.063 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.038 0.038 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02 0.01 
