Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.993 0.993 0.993 0.993 0.993 0.993 0.993 0.993 
0.3 0.988 0.988 0.988 0.988 0.988 0.988 0.988 0.988 
0.4 0.966 0.966 0.967 0.967 0.967 0.967 0.968 0.968 
0.5 0.951 0.95 0.952 0.951 0.952 0.951 0.962 0.961 
0.6 0.936 0.936 0.938 0.938 0.938 0.938 0.946 0.946 
0.7 0.884 0.884 0.885 0.885 0.885 0.885 0.901 0.901 
0.8 0.043 0.039 0.043 0.039 0.043 0.039 0.872 0.872 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.873 0.872 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.833 0.812 
