Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.985 0.985 0.985 0.985 0.985 0.985 0.985 0.985 
0.4 0.978 0.978 0.978 0.978 0.978 0.978 0.978 0.978 
0.5 0.946 0.946 0.946 0.946 0.946 0.946 0.948 0.948 
0.6 0.861 0.861 0.864 0.864 0.864 0.864 0.87 0.87 
0.7 0.834 0.833 0.839 0.837 0.839 0.837 0.849 0.847 
0.8 0.581 0.568 0.585 0.573 0.585 0.573 0.805 0.805 
0.9 0.167 0.162 0.167 0.162 0.167 0.162 0.767 0.766 
1.0 0.001 0.001 0.001 0.001 0.001 0.001 0.696 0.675 
