Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.998 0.997 0.998 0.997 0.998 0.997 0.998 0.995 
0.3 0.994 0.993 0.996 0.995 0.996 0.995 0.998 0.997 
0.4 0.973 0.97 0.985 0.979 0.985 0.979 0.989 0.983 
0.5 0.938 0.934 0.965 0.96 0.965 0.96 0.973 0.968 
0.6 0.896 0.883 0.942 0.927 0.942 0.927 0.962 0.95 
0.7 0.869 0.813 0.936 0.866 0.936 0.866 0.959 0.945 
0.8 0.039 0.008 0.043 0.009 0.043 0.009 0.952 0.936 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.925 0.905 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.909 0.575 
