Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 
0.4 0.967 0.966 0.968 0.967 0.968 0.967 0.969 0.968 
0.5 0.947 0.947 0.947 0.947 0.947 0.947 0.949 0.948 
0.6 0.915 0.915 0.916 0.916 0.916 0.916 0.921 0.921 
0.7 0.883 0.883 0.89 0.89 0.89 0.89 0.899 0.898 
0.8 0.642 0.617 0.646 0.625 0.646 0.625 0.853 0.852 
0.9 0.163 0.149 0.165 0.153 0.165 0.153 0.803 0.803 
1.0 0.001 0.0 0.001 0.0 0.001 0.0 0.744 0.705 
