Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.545 0.544 0.563 0.562 0.563 0.562 0.564 0.562 
0.3 0.249 0.249 0.368 0.364 0.368 0.364 0.374 0.368 
0.4 0.077 0.077 0.236 0.235 0.236 0.235 0.241 0.237 
0.5 0.026 0.026 0.134 0.131 0.134 0.131 0.138 0.138 
0.6 0.012 0.012 0.102 0.098 0.102 0.098 0.112 0.11 
0.7 0.003 0.003 0.066 0.057 0.066 0.057 0.07 0.07 
0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.052 0.052 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.028 0.028 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.021 0.009 
