Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.994 0.994 0.994 0.994 0.994 0.994 0.994 0.994 
0.3 0.995 0.995 0.995 0.995 0.995 0.995 0.996 0.996 
0.4 0.982 0.98 0.984 0.982 0.984 0.982 0.991 0.989 
0.5 0.965 0.962 0.973 0.97 0.973 0.97 0.984 0.979 
0.6 0.938 0.935 0.956 0.954 0.956 0.954 0.967 0.965 
0.7 0.911 0.906 0.925 0.921 0.925 0.921 0.954 0.949 
0.8 0.044 0.028 0.044 0.029 0.044 0.029 0.959 0.952 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.95 0.944 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.925 0.821 
