Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.949 0.949 0.949 0.949 0.949 0.949 0.949 0.949 
0.4 0.812 0.807 0.815 0.812 0.815 0.812 0.815 0.809 
0.5 0.649 0.646 0.667 0.664 0.667 0.664 0.67 0.667 
0.6 0.509 0.506 0.556 0.554 0.556 0.554 0.566 0.564 
0.7 0.371 0.363 0.442 0.432 0.442 0.432 0.454 0.448 
0.8 0.229 0.217 0.283 0.266 0.283 0.266 0.388 0.382 
0.9 0.059 0.055 0.074 0.067 0.074 0.067 0.32 0.315 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.224 0.193 
