Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.994 0.992 0.994 0.992 0.994 0.992 0.994 0.991 
0.4 0.949 0.939 0.953 0.945 0.953 0.945 0.953 0.942 
0.5 0.921 0.906 0.939 0.925 0.939 0.925 0.941 0.919 
0.6 0.816 0.798 0.875 0.85 0.875 0.85 0.879 0.846 
0.7 0.754 0.731 0.854 0.818 0.854 0.818 0.869 0.833 
0.8 0.504 0.422 0.607 0.486 0.607 0.486 0.809 0.781 
0.9 0.118 0.085 0.143 0.096 0.143 0.096 0.776 0.723 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.734 0.525 
