Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.4 0.993 0.993 0.993 0.993 0.993 0.993 0.993 0.993 
0.5 0.993 0.993 0.993 0.993 0.993 0.993 0.994 0.994 
0.6 0.982 0.978 0.984 0.98 0.984 0.98 0.985 0.981 
0.7 0.968 0.968 0.971 0.97 0.971 0.97 0.978 0.976 
0.8 0.709 0.696 0.714 0.702 0.714 0.702 0.98 0.978 
0.9 0.173 0.16 0.173 0.161 0.173 0.161 0.955 0.953 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.941 0.898 
