Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.968 0.968 0.968 0.968 0.968 0.968 0.968 0.968 
0.4 0.891 0.889 0.891 0.889 0.891 0.889 0.893 0.892 
0.5 0.774 0.773 0.78 0.779 0.78 0.779 0.786 0.783 
0.6 0.656 0.656 0.68 0.68 0.68 0.68 0.686 0.686 
0.7 0.549 0.547 0.585 0.584 0.585 0.584 0.603 0.603 
0.8 0.317 0.302 0.347 0.332 0.347 0.332 0.49 0.487 
0.9 0.092 0.073 0.102 0.081 0.102 0.081 0.44 0.438 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.366 0.344 
