Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.977 0.977 0.977 0.977 0.977 0.977 0.977 0.977 
0.3 0.931 0.931 0.931 0.931 0.931 0.931 0.934 0.934 
0.4 0.866 0.866 0.867 0.867 0.867 0.867 0.872 0.872 
0.5 0.766 0.766 0.767 0.767 0.767 0.767 0.787 0.787 
0.6 0.697 0.696 0.702 0.701 0.702 0.701 0.734 0.734 
0.7 0.647 0.647 0.653 0.652 0.653 0.652 0.698 0.698 
0.8 0.028 0.024 0.028 0.024 0.028 0.024 0.614 0.614 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.556 0.556 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.482 0.461 
