Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.962 0.949 0.972 0.958 0.972 0.958 0.973 0.957 
0.3 0.793 0.781 0.909 0.879 0.909 0.879 0.921 0.876 
0.4 0.598 0.579 0.853 0.8 0.853 0.8 0.876 0.795 
0.5 0.412 0.398 0.768 0.697 0.768 0.697 0.813 0.703 
0.6 0.252 0.239 0.676 0.598 0.676 0.598 0.717 0.609 
0.7 0.173 0.145 0.58 0.292 0.58 0.292 0.628 0.523 
0.8 0.005 0.001 0.02 0.001 0.02 0.001 0.553 0.462 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.467 0.342 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.395 0.052 
