Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.945 0.945 0.945 0.945 0.945 0.945 0.947 0.947 
0.3 0.826 0.823 0.833 0.83 0.833 0.83 0.839 0.838 
0.4 0.663 0.662 0.679 0.676 0.679 0.676 0.697 0.693 
0.5 0.488 0.483 0.515 0.512 0.515 0.512 0.548 0.546 
0.6 0.338 0.331 0.374 0.368 0.374 0.368 0.403 0.401 
0.7 0.245 0.227 0.288 0.27 0.288 0.27 0.324 0.317 
0.8 0.005 0.002 0.006 0.002 0.006 0.002 0.226 0.222 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.179 0.175 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.146 0.118 
