Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.4 0.991 0.99 0.991 0.99 0.991 0.99 0.991 0.989 
0.5 0.978 0.978 0.978 0.978 0.978 0.978 0.979 0.977 
0.6 0.97 0.968 0.971 0.969 0.971 0.969 0.973 0.971 
0.7 0.952 0.945 0.957 0.951 0.957 0.951 0.964 0.956 
0.8 0.684 0.664 0.685 0.667 0.685 0.667 0.935 0.929 
0.9 0.187 0.171 0.189 0.174 0.189 0.174 0.937 0.93 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.9 0.853 
