Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.4 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.5 0.995 0.995 0.997 0.997 0.997 0.997 0.997 0.997 
0.6 0.988 0.988 0.99 0.99 0.99 0.99 0.99 0.989 
0.7 0.983 0.982 0.985 0.984 0.985 0.984 0.986 0.983 
0.8 0.683 0.641 0.69 0.65 0.69 0.65 0.978 0.973 
0.9 0.182 0.159 0.183 0.161 0.183 0.161 0.976 0.973 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.973 0.895 
