Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.91 0.909 0.91 0.909 0.91 0.909 0.91 0.909 
0.3 0.779 0.778 0.78 0.779 0.78 0.779 0.784 0.783 
0.4 0.621 0.621 0.622 0.622 0.622 0.622 0.64 0.638 
0.5 0.491 0.49 0.497 0.496 0.497 0.496 0.525 0.523 
0.6 0.358 0.358 0.366 0.366 0.366 0.366 0.419 0.419 
0.7 0.271 0.271 0.274 0.274 0.274 0.274 0.321 0.319 
0.8 0.012 0.009 0.012 0.01 0.012 0.01 0.275 0.275 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.216 0.216 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.171 0.163 
