Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.971 0.967 0.983 0.978 0.983 0.978 0.984 0.976 
0.3 0.827 0.82 0.916 0.893 0.916 0.893 0.93 0.897 
0.4 0.645 0.634 0.831 0.793 0.831 0.793 0.863 0.815 
0.5 0.498 0.492 0.754 0.715 0.754 0.715 0.8 0.741 
0.6 0.4 0.394 0.684 0.637 0.684 0.637 0.737 0.676 
0.7 0.272 0.256 0.568 0.437 0.568 0.437 0.644 0.555 
0.8 0.014 0.003 0.025 0.003 0.025 0.003 0.562 0.504 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.466 0.404 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.42 0.169 
