Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.964 0.964 0.964 0.964 0.964 0.964 0.964 0.964 
0.3 0.849 0.849 0.851 0.851 0.851 0.851 0.854 0.854 
0.4 0.719 0.718 0.735 0.735 0.735 0.735 0.752 0.752 
0.5 0.596 0.596 0.611 0.611 0.611 0.611 0.631 0.631 
0.6 0.505 0.504 0.527 0.526 0.527 0.526 0.56 0.56 
0.7 0.359 0.358 0.383 0.382 0.383 0.382 0.435 0.435 
0.8 0.013 0.011 0.014 0.011 0.014 0.011 0.378 0.376 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.34 0.336 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.267 0.259 
