Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.988 0.983 0.988 0.983 0.988 0.983 0.988 0.982 
0.4 0.929 0.923 0.934 0.929 0.934 0.929 0.935 0.927 
0.5 0.85 0.832 0.899 0.877 0.899 0.877 0.903 0.87 
0.6 0.74 0.728 0.832 0.814 0.832 0.814 0.846 0.82 
0.7 0.653 0.644 0.78 0.757 0.78 0.757 0.793 0.77 
0.8 0.405 0.366 0.54 0.445 0.54 0.445 0.738 0.71 
0.9 0.08 0.063 0.114 0.074 0.114 0.074 0.67 0.637 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.654 0.507 
