Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.988 0.988 0.991 0.991 0.991 0.991 0.992 0.992 
0.3 0.939 0.934 0.968 0.959 0.968 0.959 0.973 0.962 
0.4 0.841 0.831 0.901 0.893 0.901 0.893 0.927 0.919 
0.5 0.754 0.742 0.853 0.833 0.853 0.833 0.896 0.876 
0.6 0.628 0.618 0.749 0.726 0.749 0.726 0.814 0.782 
0.7 0.579 0.551 0.723 0.661 0.723 0.661 0.793 0.759 
0.8 0.02 0.001 0.024 0.001 0.024 0.001 0.718 0.657 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.681 0.636 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.583 0.347 
