Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.926 0.926 0.926 0.926 0.926 0.926 0.926 0.926 
0.4 0.741 0.737 0.743 0.74 0.743 0.74 0.744 0.738 
0.5 0.564 0.563 0.598 0.596 0.598 0.596 0.602 0.598 
0.6 0.353 0.352 0.441 0.437 0.441 0.437 0.448 0.442 
0.7 0.289 0.288 0.396 0.388 0.396 0.388 0.407 0.399 
0.8 0.152 0.147 0.233 0.222 0.233 0.222 0.314 0.313 
0.9 0.037 0.035 0.061 0.055 0.061 0.055 0.245 0.241 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.218 0.202 
