Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.722 0.719 0.727 0.724 0.727 0.724 0.728 0.724 
0.3 0.431 0.431 0.499 0.498 0.499 0.498 0.512 0.51 
0.4 0.227 0.225 0.327 0.326 0.327 0.326 0.338 0.334 
0.5 0.117 0.116 0.216 0.215 0.216 0.215 0.229 0.228 
0.6 0.056 0.055 0.148 0.148 0.148 0.148 0.159 0.158 
0.7 0.023 0.023 0.079 0.076 0.079 0.076 0.091 0.088 
0.8 0.0 0.0 0.006 0.003 0.006 0.003 0.08 0.08 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.043 0.042 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.022 0.016 
