Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.976 0.976 0.977 0.977 0.977 0.977 0.977 0.977 
0.3 0.904 0.904 0.907 0.907 0.907 0.907 0.908 0.908 
0.4 0.798 0.797 0.803 0.802 0.803 0.802 0.814 0.814 
0.5 0.669 0.668 0.681 0.679 0.681 0.679 0.708 0.705 
0.6 0.573 0.567 0.59 0.589 0.59 0.589 0.618 0.614 
0.7 0.464 0.445 0.492 0.473 0.492 0.473 0.547 0.542 
0.8 0.017 0.008 0.017 0.008 0.017 0.008 0.427 0.425 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.355 0.353 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.266 0.223 
