Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.991 0.991 0.993 0.993 0.993 0.993 0.993 0.993 
0.3 0.955 0.948 0.969 0.963 0.969 0.963 0.974 0.966 
0.4 0.881 0.872 0.935 0.922 0.935 0.922 0.954 0.939 
0.5 0.827 0.82 0.901 0.894 0.901 0.894 0.934 0.921 
0.6 0.743 0.728 0.853 0.836 0.853 0.836 0.897 0.878 
0.7 0.639 0.613 0.802 0.732 0.802 0.732 0.872 0.841 
0.8 0.029 0.006 0.034 0.006 0.034 0.006 0.835 0.799 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.802 0.759 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.738 0.435 
