Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.612 0.611 0.629 0.628 0.629 0.628 0.63 0.629 
0.3 0.313 0.31 0.413 0.41 0.413 0.41 0.419 0.416 
0.4 0.129 0.128 0.268 0.266 0.268 0.266 0.276 0.272 
0.5 0.042 0.042 0.158 0.155 0.158 0.155 0.164 0.16 
0.6 0.013 0.013 0.094 0.093 0.094 0.093 0.102 0.101 
0.7 0.004 0.004 0.051 0.049 0.051 0.049 0.056 0.056 
0.8 0.0 0.0 0.0 0.0 0.0 0.0 0.041 0.041 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.036 0.035 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.023 0.01 
