Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.82 0.818 0.822 0.82 0.822 0.82 0.822 0.82 
0.3 0.588 0.587 0.607 0.606 0.607 0.606 0.611 0.608 
0.4 0.381 0.38 0.418 0.418 0.418 0.418 0.433 0.433 
0.5 0.283 0.282 0.334 0.331 0.334 0.331 0.355 0.353 
0.6 0.166 0.166 0.218 0.217 0.218 0.217 0.245 0.243 
0.7 0.109 0.109 0.148 0.146 0.148 0.146 0.173 0.172 
0.8 0.008 0.008 0.011 0.008 0.011 0.008 0.13 0.13 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.099 0.099 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.085 0.077 
