Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.998 0.998 0.998 0.998 0.998 0.998 0.998 0.997 
0.3 0.977 0.971 0.985 0.982 0.985 0.982 0.987 0.984 
0.4 0.928 0.919 0.956 0.944 0.956 0.944 0.967 0.954 
0.5 0.866 0.852 0.933 0.913 0.933 0.913 0.953 0.934 
0.6 0.812 0.795 0.911 0.895 0.911 0.895 0.939 0.919 
0.7 0.676 0.588 0.849 0.688 0.849 0.688 0.912 0.878 
0.8 0.03 0.005 0.045 0.006 0.045 0.006 0.881 0.839 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.837 0.776 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.826 0.34 
