Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.944 0.944 0.944 0.944 0.944 0.944 0.944 0.944 
0.4 0.778 0.777 0.784 0.783 0.784 0.783 0.785 0.784 
0.5 0.639 0.639 0.659 0.658 0.659 0.658 0.663 0.662 
0.6 0.49 0.488 0.526 0.523 0.526 0.523 0.541 0.536 
0.7 0.396 0.394 0.446 0.443 0.446 0.443 0.464 0.462 
0.8 0.212 0.209 0.272 0.263 0.272 0.263 0.374 0.372 
0.9 0.057 0.052 0.07 0.065 0.07 0.065 0.294 0.291 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.274 0.267 
