Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.997 0.997 0.997 0.997 0.997 0.997 0.997 0.997 
0.3 0.998 0.996 0.999 0.997 0.999 0.997 0.999 0.996 
0.4 0.989 0.986 0.992 0.991 0.992 0.991 0.995 0.993 
0.5 0.981 0.979 0.986 0.985 0.986 0.985 0.99 0.988 
0.6 0.95 0.943 0.967 0.963 0.967 0.963 0.979 0.976 
0.7 0.932 0.917 0.957 0.935 0.957 0.935 0.975 0.972 
0.8 0.045 0.017 0.046 0.019 0.046 0.019 0.96 0.952 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.957 0.949 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.949 0.765 
