Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.902 0.864 0.922 0.878 0.922 0.878 0.923 0.856 
0.3 0.589 0.569 0.776 0.717 0.776 0.717 0.791 0.704 
0.4 0.366 0.348 0.659 0.613 0.659 0.613 0.669 0.612 
0.5 0.179 0.172 0.545 0.49 0.545 0.49 0.554 0.492 
0.6 0.093 0.09 0.474 0.425 0.474 0.425 0.481 0.455 
0.7 0.052 0.043 0.417 0.14 0.417 0.14 0.42 0.401 
0.8 0.001 0.0 0.012 0.0 0.012 0.0 0.363 0.334 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.309 0.176 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.255 0.009 
