Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.4 0.993 0.991 0.997 0.994 0.997 0.994 0.998 0.997 
0.5 0.992 0.991 0.994 0.993 0.994 0.993 0.997 0.996 
0.6 0.982 0.98 0.987 0.985 0.987 0.985 0.993 0.989 
0.7 0.962 0.957 0.978 0.972 0.978 0.972 0.99 0.988 
0.8 0.059 0.038 0.06 0.038 0.06 0.038 0.979 0.978 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.971 0.968 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.959 0.864 
