Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.4 0.998 0.998 0.998 0.998 0.998 0.998 0.998 0.998 
0.5 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.6 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.7 0.997 0.997 0.997 0.997 0.997 0.997 0.997 0.997 
0.8 0.708 0.697 0.709 0.698 0.709 0.698 0.994 0.994 
0.9 0.172 0.167 0.172 0.168 0.172 0.168 0.992 0.99 
1.0 0.001 0.001 0.001 0.001 0.001 0.001 0.987 0.972 
