Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.993 0.993 0.993 0.993 0.993 0.993 0.993 0.993 
0.4 0.967 0.966 0.971 0.969 0.971 0.969 0.972 0.967 
0.5 0.909 0.904 0.927 0.919 0.927 0.919 0.928 0.917 
0.6 0.824 0.819 0.889 0.882 0.889 0.882 0.898 0.889 
0.7 0.773 0.763 0.854 0.839 0.854 0.839 0.869 0.851 
0.8 0.498 0.47 0.572 0.529 0.572 0.529 0.811 0.789 
0.9 0.121 0.094 0.144 0.11 0.144 0.11 0.759 0.733 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.743 0.645 
