Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.984 0.984 0.984 0.984 0.984 0.984 0.984 0.984 
0.4 0.942 0.942 0.942 0.942 0.942 0.942 0.942 0.942 
0.5 0.864 0.864 0.867 0.867 0.867 0.867 0.868 0.868 
0.6 0.792 0.792 0.798 0.798 0.798 0.798 0.803 0.803 
0.7 0.72 0.72 0.729 0.729 0.729 0.729 0.742 0.741 
0.8 0.445 0.433 0.458 0.446 0.458 0.446 0.655 0.654 
0.9 0.109 0.102 0.11 0.104 0.11 0.104 0.582 0.579 
1.0 0.001 0.0 0.001 0.0 0.001 0.0 0.52 0.499 
