Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.999 0.999 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.882 0.88 1.0 1.0 1.0 1.0 1.0 1.0 
0.4 0.536 0.532 1.0 1.0 1.0 1.0 1.0 1.0 
0.5 0.197 0.196 1.0 1.0 1.0 1.0 1.0 1.0 
0.6 0.048 0.047 0.997 0.992 0.997 0.992 1.0 1.0 
0.7 0.006 0.006 0.967 0.894 0.967 0.894 1.0 1.0 
0.8 0.0 0.0 0.036 0.001 0.036 0.001 1.0 1.0 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.998 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.957 0.542 
