Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.996 0.996 0.996 0.996 0.996 0.996 0.996 0.996 
0.4 0.984 0.984 0.984 0.984 0.984 0.984 0.984 0.984 
0.5 0.966 0.966 0.967 0.967 0.967 0.967 0.968 0.968 
0.6 0.926 0.926 0.926 0.926 0.926 0.926 0.927 0.927 
0.7 0.903 0.902 0.904 0.903 0.904 0.903 0.911 0.911 
0.8 0.644 0.634 0.645 0.637 0.645 0.637 0.894 0.894 
0.9 0.18 0.178 0.181 0.179 0.181 0.179 0.843 0.843 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.825 0.813 
