Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.3 0.985 0.975 0.985 0.975 0.985 0.975 0.985 0.975 
0.4 0.908 0.879 0.915 0.889 0.915 0.889 0.915 0.875 
0.5 0.811 0.784 0.85 0.82 0.85 0.82 0.852 0.815 
0.6 0.648 0.631 0.768 0.743 0.768 0.743 0.778 0.752 
0.7 0.538 0.527 0.715 0.682 0.715 0.682 0.727 0.709 
0.8 0.332 0.284 0.475 0.355 0.475 0.355 0.644 0.621 
0.9 0.106 0.074 0.149 0.088 0.149 0.088 0.641 0.617 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.584 0.388 
