Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.912 0.911 0.913 0.912 0.913 0.912 0.914 0.913 
0.3 0.738 0.738 0.749 0.749 0.749 0.749 0.761 0.759 
0.4 0.559 0.559 0.586 0.585 0.586 0.585 0.605 0.602 
0.5 0.391 0.39 0.429 0.427 0.429 0.427 0.459 0.458 
0.6 0.259 0.257 0.305 0.303 0.305 0.303 0.336 0.336 
0.7 0.157 0.154 0.212 0.207 0.212 0.207 0.262 0.259 
0.8 0.007 0.003 0.009 0.004 0.009 0.004 0.211 0.207 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.154 0.153 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.112 0.101 
