Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.992 0.992 0.992 0.992 0.992 0.992 0.992 0.992 
0.3 0.971 0.971 0.971 0.971 0.971 0.971 0.971 0.971 
0.4 0.941 0.94 0.942 0.941 0.942 0.941 0.947 0.946 
0.5 0.897 0.897 0.898 0.898 0.898 0.898 0.908 0.908 
0.6 0.857 0.857 0.86 0.858 0.86 0.858 0.88 0.88 
0.7 0.799 0.798 0.806 0.803 0.806 0.803 0.837 0.837 
0.8 0.026 0.025 0.026 0.025 0.026 0.025 0.798 0.798 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.773 0.773 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.692 0.664 
