Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.3 0.999 0.999 0.999 0.999 0.999 0.999 0.999 0.999 
0.4 0.997 0.997 0.997 0.997 0.997 0.997 0.998 0.998 
0.5 0.991 0.991 0.995 0.995 0.995 0.995 0.995 0.995 
0.6 0.991 0.991 0.994 0.993 0.994 0.993 0.996 0.996 
0.7 0.983 0.981 0.991 0.989 0.991 0.989 0.996 0.995 
0.8 0.045 0.038 0.046 0.039 0.046 0.039 0.991 0.99 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.991 0.988 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.986 0.935 
