Utili PIP PIPO PCP PCPO IPCP IPCPO SRP SRPO
0.1 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
0.2 0.994 0.991 0.994 0.991 0.994 0.991 0.994 0.99 
0.3 0.97 0.967 0.971 0.969 0.971 0.969 0.979 0.977 
0.4 0.952 0.949 0.959 0.959 0.959 0.959 0.968 0.964 
0.5 0.899 0.894 0.908 0.902 0.908 0.902 0.934 0.924 
0.6 0.856 0.844 0.87 0.861 0.87 0.861 0.909 0.896 
0.7 0.793 0.774 0.823 0.802 0.823 0.802 0.884 0.865 
0.8 0.043 0.018 0.043 0.02 0.043 0.02 0.867 0.846 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.801 0.77 
1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.779 0.598 
